date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:28	181/181	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:29%20GMT	http://www.obelisk.me.uk/robots.txt		(from )
18:38:29	5399/5399	---MCZ	200	added ('OK')	text/html	etag:W/%221517-52009b2fa5470%22	http://www.obelisk.me.uk/6502/	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/index.html	(from )
18:38:29	897/897	---MCZ	200	added ('OK')	text/css	etag:W/%22381-5642925306ea9%22	http://www.obelisk.me.uk/obelisk.css	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/obelisk.css	(from http://www.obelisk.me.uk/6502/)
18:38:30	4820/4820	---MCZ	200	added ('OK')	text/html	etag:W/%2212d4-52009b2f6aaea%22	http://www.obelisk.me.uk/6502/downloads.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/downloads.html	(from http://www.obelisk.me.uk/6502/)
18:38:30	3146/3146	---MCZ	200	added ('OK')	text/html	etag:W/%22c4a-52009b2e681f0%22	http://www.obelisk.me.uk/6502/architecture.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/architecture.html	(from http://www.obelisk.me.uk/6502/)
18:38:30	7356/7356	---MCZ	200	added ('OK')	text/html	etag:W/%221cbc-52009b31b4df0%22	http://www.obelisk.me.uk/6502/registers.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/registers.html	(from http://www.obelisk.me.uk/6502/)
18:38:31	19315/19315	---MCZ	200	added ('OK')	text/html	etag:W/%224b73-52009b2fe6f35%22	http://www.obelisk.me.uk/6502/instructions.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/instructions.html	(from http://www.obelisk.me.uk/6502/)
18:38:31	9496/9496	---MCZ	200	added ('OK')	text/html	etag:W/%222518-52009b2dda83e%22	http://www.obelisk.me.uk/6502/addressing.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/addressing.html	(from http://www.obelisk.me.uk/6502/)
18:38:32	2266/2266	---MCZ	200	added ('OK')	text/html	etag:W/%228da-52009b302051c%22	http://www.obelisk.me.uk/6502/links.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/links.html	(from http://www.obelisk.me.uk/6502/)
18:38:33	51177/51177	---MCZ	200	added ('OK')	text/html	etag:W/%22c7e9-52009b2e2d09a%22	http://www.obelisk.me.uk/6502/algorithms.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/algorithms.html	(from http://www.obelisk.me.uk/6502/)
18:38:33	171248/171248	---MCZ	200	added ('OK')	text/html	etag:W/%2229cf0-52009b3175a63%22	http://www.obelisk.me.uk/6502/reference.html	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/reference.html	(from http://www.obelisk.me.uk/6502/)
18:38:33	0/0	---M-Z	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2005%20Feb%202018%2020:38:34%20GMT	http://t.webring.com/go?ring=6502webring&id=5&prev	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/t.webring.com/go.ac548.delayed	(from http://www.obelisk.me.uk/6502/)
18:38:33	51615/51615	---MC-	200	added ('OK')	text/javascript	date:Mon,%2005%20Feb%202018%2020:38:30%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/pagead2.googlesyndication.com/pagead/f.txt	(from http://www.obelisk.me.uk/6502/)
18:38:34	301/301	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:35%20GMT	http://t.webring.org/go?ring=6502webring&id=5&prev	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/t.webring.org/go.bc548.delayed	(from http://www.obelisk.me.uk/6502/)
18:38:34	313/313	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:35%20GMT	http://hub.webring.org/hub/6502webring	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/hub.webring.org/hub/6502webring.c.delayed	(from http://www.obelisk.me.uk/6502/)
18:38:35	39340/39340	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Feb%202018%2020:38:36%20GMT	http://hub.yourtakeonscience.com/hub/6502webring	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/hub.yourtakeonscience.com/hub/6502webring.html	(from http://www.obelisk.me.uk/6502/)
18:38:35	807/807	---M--	200	added ('OK')	image/jpeg	etag:%22327-52009b3215cb7%22	http://www.obelisk.me.uk/6502/ringprev.jpg	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/ringprev.jpg	(from http://www.obelisk.me.uk/6502/)
18:38:36	311/311	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:38:36%20GMT	http://t.webring.com/hub?ring=6502webring&id=5&hub	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/t.webring.com/hub.fe3bb.delayed	(from http://www.obelisk.me.uk/6502/)
18:38:36	2081/2081	---M--	200	added ('OK')	image/jpeg	etag:%22821-52009b2d9a4e9%22	http://www.obelisk.me.uk/6502/6502ring.jpg	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/www.obelisk.me.uk/6502/6502ring.jpg	(from http://www.obelisk.me.uk/6502/)
